Source - AS,Source - IP,Target - AS,Target - IP,Type,RTTD
-4,219.94.128.141,36236,199.38.181.1,Directed,19.37
36236,199.38.181.1,2914,129.250.3.50,Directed,17.68
2914,129.250.3.50,2914,61.120.147.26,Directed,0.30000000000001137
2914,61.120.147.26,9371,219.94.128.141,Directed,1.6299999999999955
-4,213.105.9.24,36236,199.38.181.1,Directed,22.02
36236,199.38.181.1,3257,89.149.181.186,Directed,21.03
3257,89.149.181.186,3257,173.241.130.198,Directed,4.0
3257,173.241.130.198,6830,84.116.133.98,Directed,81.84
6830,84.116.133.98,5089,62.253.174.78,Directed,262.28999999999996
5089,62.253.174.78,5089,213.105.9.24,Directed,260.83
-4,128.232.132.8,36236,199.38.181.1,Directed,12.58
36236,199.38.181.1,3356,4.68.75.77,Directed,7.69
3356,4.68.75.77,3356,212.187.216.238,Directed,2.0600000000000023
3356,212.187.216.238,786,146.97.35.193,Directed,1.8599999999999994
786,146.97.35.193,786,131.111.6.182,Directed,1.9500000000000028
786,131.111.6.182,786,193.60.88.6,Directed,0.7000000000000028
786,193.60.88.6,786,128.232.132.8,Directed,1.8299999999999983
-4,202.218.128.200,36236,199.38.181.1,Directed,111.28
36236,199.38.181.1,174,154.54.81.201,Directed,110.09
174,154.54.81.201,2519,163.139.130.218,Directed,0.3199999999999932
2519,163.139.130.218,2519,222.230.187.198,Directed,2.240000000000009
2519,222.230.187.198,4694,202.218.128.200,Directed,2.7900000000000205
-4,5.28.62.178,36236,199.38.181.1,Directed,2.99
36236,199.38.181.1,174,154.54.81.201,Directed,2.0100000000000002
174,154.54.81.201,174,149.11.143.66,Directed,0.0799999999999983
174,149.11.143.66,20860,130.180.202.49,Directed,1.5699999999999932
20860,130.180.202.49,35425,91.223.58.33,Directed,0.9899999999999949
35425,91.223.58.33,35425,5.28.62.178,Directed,0.030000000000001137
-4,120.136.14.37,36236,199.38.181.1,Directed,14.92
36236,199.38.181.1,2914,129.250.3.50,Directed,13.9
2914,129.250.3.50,2914,120.88.53.30,Directed,0.020000000000010232
2914,120.88.53.30,4713,122.1.245.70,Directed,1.2700000000000102
4713,122.1.245.70,4713,210.232.233.254,Directed,4.310000000000002
4713,210.232.233.254,131965,103.3.0.3,Directed,3.8899999999999864
131965,103.3.0.3,131965,120.136.14.37,Directed,0.9199999999999875
-4,128.2.42.10,36236,199.38.181.1,Directed,12.28
36236,199.38.181.1,11537,163.253.2.150,Directed,6.9399999999999995
11537,163.253.2.150,11164,198.71.47.209,Directed,3.95
11164,198.71.47.209,9,128.2.42.10,Directed,88.4
-4,162.159.128.233,36236,199.38.181.1,Directed,13.63
36236,199.38.181.1,13335,172.70.112.4,Directed,3.1899999999999995
13335,172.70.112.4,13335,162.159.135.232,Directed,15.74
-4,208.82.237.129,36236,199.38.181.1,Directed,140.88
36236,199.38.181.1,2914,129.250.3.129,Directed,139.82999999999998
2914,129.250.3.129,2914,165.254.239.30,Directed,0.08000000000000007
2914,165.254.239.30,22414,208.82.237.129,Directed,0.009999999999999787
-4,128.59.105.24,36236,199.38.181.1,Directed,21.78
36236,199.38.181.1,174,154.54.81.201,Directed,20.75
174,154.54.81.201,174,38.122.8.210,Directed,5.27
174,38.122.8.210,14,128.59.105.24,Directed,0.21999999999999997
