Source - AS,Source - IP,Target - AS,Target - IP,Type,RTTD
-1,0,59193,103.232.241.2,Directed,1.09
59193,103.232.241.2,55836,115.247.100.29,Directed,32
55836,115.247.100.29,2497,210.138.32.46,Directed,91.89
2497,-6,9371,219.94.128.141,Directed,1.49
-1,0,59193,103.232.241.2,Directed,3.33
59193,103.232.241.2,55836,115.247.100.29,Directed,0
55836,115.247.100.29,174,130.117.48.145,Directed,138
174,130.117.48.145,174,154.54.58.186,Directed,4.66
174,154.54.58.186,6830,213.46.174.45,Directed,13.33
6830,213.46.174.45,6830,84.116.135.42,Directed,14
6830,84.116.135.42,5089,62.254.85.22,Directed,11.67
5089,-7,5089,213.105.9.24,Directed,11.34
-1,0,59193,103.232.241.2,Directed,1.3
59193,103.232.241.2,55824,180.149.48.29,Directed,23.7
55824,180.149.48.29,20965,62.40.125.214,Directed,1.79
20965,62.40.125.214,20965,62.40.98.106,Directed,1.07
20965,62.40.98.106,20965,62.40.124.198,Directed,0.45
20965,62.40.124.198,786,146.97.33.18,Directed,5.19
786,146.97.33.18,786,128.232.132.8,Directed,0.6
-1,0,59193,103.232.241.2,Directed,3.76
59193,103.232.241.2,55836,115.247.100.29,Directed,105.42
55836,115.247.100.29,3356,4.69.217.18,Directed,57.18
3356,4.69.217.18,2519,163.139.130.222,Directed,2.37
2519,163.139.130.222,4694,202.218.128.200,Directed,99.32
-1,0,59193,103.232.241.2,Directed,1.97
59193,103.232.241.2,55836,115.247.100.29,Directed,1.08
55836,115.247.100.29,20860,130.180.202.49,Directed,133.31
20860,130.180.202.49,35425,5.28.62.178,Directed,8.18
-1,0,59193,103.232.241.2,Directed,0.62
59193,103.232.241.2,55836,115.247.100.29,Directed,0.74
55836,115.247.100.29,64049,49.45.4.82,Directed,44.15
64049,49.45.4.82,3356,4.69.217.18,Directed,61.68
3356,4.69.217.18,3549,113.29.1.138,Directed,1.65
3549,113.29.1.138,2519,222.230.187.206,Directed,134.18
2519,222.230.187.206,131965,103.3.0.5,Directed,7.49
131965,103.3.0.5,131965,120.136.14.37,Directed,10.07
-1,0,59193,103.232.241.2,Directed,4.33
59193,103.232.241.2,55824,180.149.48.13,Directed,122
55824,180.149.48.13,11537,163.253.1.241,Directed,1.34
11537,163.253.1.241,14877,162.223.17.79,Directed,93
14877,162.223.17.79,9,128.2.42.52,Directed,0
-1,0,59193,103.232.241.2,Directed,21.91
59193,103.232.241.2,55836,115.247.100.29,Directed,35.07
55836,115.247.100.29,13335,172.70.216.5,Directed,18.63
13335,-13,13335,162.159.136.232,Directed,2.08
-1,0,59193,103.232.241.2,Directed,2
59193,103.232.241.2,55836,115.247.100.29,Directed,20.75
55836,115.247.100.29,2914,128.241.7.158,Directed,246.49
2914,128.241.7.158,2914,129.250.3.16,Directed,25.83
2914,129.250.3.16,2914,165.254.239.30,Directed,4
2914,-14,22414,208.82.237.129,Directed,0.67
-1,0,59193,103.232.241.2,Directed,2.33
59193,103.232.241.2,55824,180.149.48.13,Directed,84.33
55824,180.149.48.13,14,128.59.255.5,Directed,15
14,128.59.255.5,14,128.59.105.24,Directed,0.67
