Source - AS,Source - IP,Target - AS,Target - IP,Type,RTTD
-5,219.94.128.141,6453,116.0.67.37,Directed,36
6453,116.0.67.37,6453,180.87.112.150,Directed,1
6453,180.87.112.150,2497,210.138.32.46,Directed,63
2497,210.138.32.46,-6,219.94.128.141,Directed,10
-5,213.105.9.24,6453,116.0.79.129,Directed,271
6453,116.0.79.129,6453,180.87.181.27,Directed,682
6453,180.87.181.27,6453,120.29.211.2,Directed,1
6453,120.29.211.2,6453,63.243.128.18,Directed,284
6453,63.243.128.18,-7,63.243.216.23,Directed,10
-5,128.232.132.8,6453,116.0.79.129,Directed,148
6453,116.0.79.129,6453,180.87.181.92,Directed,1
6453,180.87.181.92,786,146.97.41.38,Directed,139
786,146.97.41.38,786,131.111.6.182,Directed,1
786,131.111.6.182,786,193.60.88.6,Directed,3
786,193.60.88.6,-8,128.232.128.6,Directed,8
-5,202.218.128.200,6453,116.0.67.37,Directed,36
6453,116.0.67.37,6453,180.87.112.150,Directed,0
6453,180.87.112.150,2497,210.130.134.118,Directed,74
2497,210.130.134.118,2519,222.230.187.198,Directed,5
2519,222.230.187.198,-9,202.218.128.200,Directed,9
-5,5.28.62.178,6453,116.0.79.129,Directed,136
6453,116.0.79.129,6453,180.87.181.73,Directed,302
6453,180.87.181.73,6453,120.29.211.2,Directed,1
6453,120.29.211.2,6453,63.243.205.130,Directed,124
6453,63.243.205.130,174,154.54.0.222,Directed,109
174,154.54.0.222,174,66.28.4.238,Directed,5
174,66.28.4.238,174,149.11.143.66,Directed,120
174,149.11.143.66,35425,91.223.58.33,Directed,23
35425,91.223.58.33,-10,5.28.62.178,Directed,15
-5,120.136.14.37,6453,116.0.67.37,Directed,36
6453,116.0.67.37,6453,180.87.112.150,Directed,0
6453,180.87.112.150,2519,222.230.187.150,Directed,179
2519,222.230.187.150,131965,103.3.0.23,Directed,17
131965,103.3.0.23,-11,msec,Directed,18
-5,128.2.42.10,6453,64.86.252.66,Directed,164
6453,64.86.252.66,2828,66.3.25.94,Directed,13
2828,66.3.25.94,9,128.2.255.181,Directed,20
9,-12,9,128.2.42.52,Directed,4
-5,162.159.135.232,6453,180.87.37.54,Directed,159
6453,180.87.37.54,4755,115.112.8.94,Directed,10
4755,115.112.8.94,13335,162.158.52.19,Directed,9
13335,162.158.52.19,-13,162.159.135.232,Directed,4
-5,208.82.237.129,6453,66.110.59.1,Directed,159
6453,66.110.59.1,7922,96.108.111.5,Directed,182
7922,96.108.111.5,-14,50.203.200.110,Directed,5
-5,128.59.105.24,6453,209.58.86.37,Directed,341
6453,209.58.86.37,174,38.122.8.210,Directed,87
174,38.122.8.210,14,128.59.255.21,Directed,5
14,128.59.255.21,-15,128.59.105.24,Directed,1
