Source,Target,Type,RTTD
-3,9498,Directed,102.33000000000001
9498,2497,Directed,39.0
2497,-6,Directed,239.99999999999997
-3,9498,Directed,159.0
9498,1299,Directed,366.0
1299,6830,Directed,31.66999999999996
6830,5089,Directed,430.0
5089,-7,Directed,416.33000000000004
-3,9498,Directed,20.66
9498,6461,Directed,133.0
6461,786,Directed,88.32000000000002
786,-8,Directed,135.0
-3,9498,Directed,67.33
9498,3356,Directed,94.34
3356,3549,Directed,26.66999999999996
3549,2519,Directed,157.00000000000003
2519,-9,Directed,7.669999999999959
-3,9498,Directed,271.0
9498,20860,Directed,705.3399999999999
20860,35425,Directed,311.33
35425,-10,Directed,252.99999999999994
-3,9498,Directed,226.00000000000003
9498,3356,Directed,55.0
3356,3549,Directed,231.66000000000003
3549,2519,Directed,147.66000000000003
2519,131965,Directed,17.670000000000016
131965,-11,Directed,50.339999999999975
-3,9498,Directed,105.66
9498,2381,Directed,29.66999999999996
9,-12,Directed,85.33000000000004
-3,9498,Directed,128.65999999999997
9498,13335,Directed,13.329999999999984
13335,-13,Directed,76.33000000000001
-3,9498,Directed,46.34
9498,2914,Directed,152.34
2914,-14,Directed,74.0
-3,9498,Directed,237.99
9498,174,Directed,31.670000000000016
174,14,Directed,72.99999999999994
14,-15,Directed,75.00000000000006
