Source,Target,Type,RTTD
-2,2914,Directed,3.0
2914,-6,Directed,3.0
-2,2914,Directed,1.0
2914,6830,Directed,0.0
6830,5089,Directed,9.0
5089,-7,Directed,1.0
-2,2914,Directed,1.0
2914,3356,Directed,1.0
3356,786,Directed,20.0
786,-8,Directed,0.0
-2,2914,Directed,91.0
2914,2497,Directed,95.0
2497,2519,Directed,4.0
2519,-9,Directed,5.0
-2,2914,Directed,1.0
2914,6461,Directed,0.0
6461,20860,Directed,0.0
20860,35425,Directed,0.0
35425,-10,Directed,0.0
-2,174,Directed,0.66
174,2519,Directed,6.139999999999986
2519,131965,Directed,7.159999999999997
131965,-11,Directed,0.6800000000000068
-2,2914,Directed,4.0
2914,174,Directed,2.0
174,9,Directed,0.0
9,-12,Directed,0.0
-2,2914,Directed,1.0
2914,13335,Directed,1.0
13335,-13,Directed,1.0
-2,2914,Directed,2.0
2914,-14,Directed,1.0
-2,2914,Directed,1.0
2914,174,Directed,34.0
174,14,Directed,1.0
14,-15,Directed,101.0
