Source - AS,Source - IP,Target - AS,Target - IP,Type,RTTD
-5,219.94.128.141,6453,116.0.67.37,Directed,36.0
6453,116.0.67.37,6453,180.87.112.150,Directed,0.0
6453,180.87.112.150,2497,58.138.81.137,Directed,51.0
2497,58.138.81.137,2497,58.138.106.162,Directed,2.0
2497,58.138.106.162,2497,210.138.32.46,Directed,10.0
2497,-6,9371,219.94.128.141,Directed,10.0
-5,213.105.9.24,6453,116.0.79.129,Directed,271.0
6453,116.0.79.129,6453,180.87.181.92,Directed,4.0
6453,180.87.181.92,6453,180.87.181.73,Directed,235.0
6453,180.87.181.73,6453,180.87.180.1,Directed,222.0
6453,180.87.180.1,6453,180.87.181.27,Directed,221.0
6453,180.87.181.27,6453,120.29.211.2,Directed,1.0
6453,120.29.211.2,6453,209.58.86.144,Directed,239.0
6453,209.58.86.144,6453,63.243.205.72,Directed,18.0
6453,63.243.205.72,6453,63.243.128.30,Directed,23.0
6453,63.243.128.30,6453,63.243.205.187,Directed,1.0
6453,63.243.205.187,6453,63.243.128.30,Directed,2.0
6453,63.243.128.30,6453,63.243.128.18,Directed,1.0
6453,-7,6453,63.243.216.23,Directed,10.0
-5,128.232.132.8,6453,116.0.79.129,Directed,148.0
6453,116.0.79.129,6453,180.87.181.92,Directed,1.0
6453,180.87.181.92,786,146.97.33.62,Directed,125.0
786,146.97.33.62,786,146.97.33.29,Directed,9.0
786,146.97.33.29,786,146.97.35.246,Directed,2.0
786,146.97.35.246,786,146.97.41.38,Directed,3.0
786,146.97.41.38,786,131.111.6.182,Directed,1.0
786,131.111.6.182,786,193.60.88.6,Directed,3.0
786,193.60.88.6,786,193.60.88.6,Directed,5.0
786,-8,786,128.232.128.6,Directed,5.0
-5,202.218.128.200,6453,116.0.67.37,Directed,36.0
6453,116.0.67.37,6453,180.87.112.150,Directed,0.0
6453,180.87.112.150,2497,58.138.98.106,Directed,1.0
2497,58.138.98.106,2497,58.138.80.234,Directed,7.0
2497,58.138.80.234,2497,58.138.99.70,Directed,8.0
2497,58.138.99.70,2497,58.138.81.173,Directed,52.0
2497,58.138.81.173,2497,58.138.101.38,Directed,0.0
2497,58.138.101.38,2497,58.138.101.34,Directed,6.0
2497,58.138.101.34,2497,210.130.134.118,Directed,0.0
2497,210.130.134.118,2519,163.139.130.218,Directed,5.0
2519,163.139.130.218,2519,222.230.187.198,Directed,0.0
2519,-9,4694,202.218.128.200,Directed,9.0
-5,5.28.62.178,6453,116.0.79.129,Directed,136.0
6453,116.0.79.129,6453,180.87.181.92,Directed,7.0
6453,180.87.181.92,6453,180.87.181.27,Directed,101.0
6453,180.87.181.27,6453,180.87.180.1,Directed,97.0
6453,180.87.180.1,6453,180.87.181.73,Directed,97.0
6453,180.87.181.73,6453,120.29.211.2,Directed,1.0
6453,120.29.211.2,6453,209.58.86.200,Directed,96.0
6453,209.58.86.200,6453,209.58.86.144,Directed,7.0
6453,209.58.86.144,6453,209.58.86.200,Directed,5.0
6453,209.58.86.200,6453,209.58.86.37,Directed,8.0
6453,209.58.86.37,6453,63.243.205.130,Directed,8.0
6453,63.243.205.130,174,154.54.12.141,Directed,3.0
174,154.54.12.141,174,154.54.43.9,Directed,7.0
174,154.54.43.9,174,154.54.44.142,Directed,19.0
174,154.54.44.142,174,154.54.41.146,Directed,13.0
174,154.54.41.146,174,154.54.5.90,Directed,37.0
174,154.54.5.90,174,154.54.44.170,Directed,10.0
174,154.54.44.170,174,154.54.42.166,Directed,3.0
174,154.54.42.166,174,154.54.7.130,Directed,6.0
174,154.54.7.130,174,154.54.29.174,Directed,10.0
174,154.54.29.174,174,154.54.0.222,Directed,1.0
174,154.54.0.222,174,66.28.4.238,Directed,5.0
174,66.28.4.238,174,154.54.82.33,Directed,87.0
174,154.54.82.33,174,154.54.82.37,Directed,27.0
174,154.54.82.37,174,154.54.58.186,Directed,6.0
174,154.54.58.186,174,149.11.143.66,Directed,13.0
174,149.11.143.66,20860,130.180.202.49,Directed,16.0
20860,130.180.202.49,20860,130.180.202.57,Directed,0.0
20860,130.180.202.57,35425,91.223.58.33,Directed,7.0
35425,-10,35425,5.28.62.178,Directed,15.0
-5,120.136.14.37,6453,116.0.67.37,Directed,36.0
6453,116.0.67.37,6453,180.87.112.150,Directed,0.0
6453,180.87.112.150,2497,58.138.81.137,Directed,52.0
2497,58.138.81.137,2497,58.138.106.154,Directed,2.0
2497,58.138.106.154,2497,58.138.106.186,Directed,7.0
2497,58.138.106.186,2497,210.130.133.166,Directed,49.0
2497,210.130.133.166,2519,163.139.136.67,Directed,57.0
2519,163.139.136.67,2519,163.139.136.69,Directed,3.0
2519,163.139.136.69,2519,163.139.136.67,Directed,3.0
2519,163.139.136.67,2519,222.230.187.150,Directed,6.0
2519,222.230.187.150,131965,103.3.0.23,Directed,17.0
131965,-11,-100,msec,Directed,18.0
-5,128.2.42.10,6453,116.0.79.129,Directed,148.0
6453,116.0.79.129,6453,180.87.181.207,Directed,6.0
6453,180.87.181.207,6453,180.87.3.131,Directed,8.0
6453,180.87.3.131,6453,64.86.252.66,Directed,2.0
6453,64.86.252.66,2828,66.3.25.94,Directed,13.0
2828,66.3.25.94,9,128.2.255.181,Directed,1.0
9,128.2.255.181,9,128.2.255.210,Directed,19.0
9,-12,9,128.2.42.52,Directed,4.0
-5,162.159.135.232,6453,116.0.67.37,Directed,114.0
6453,116.0.67.37,6453,116.0.93.138,Directed,10.0
6453,116.0.93.138,6453,116.0.93.144,Directed,1.0
6453,116.0.93.144,6453,180.87.37.64,Directed,3.0
6453,180.87.37.64,6453,180.87.37.54,Directed,6.0
6453,180.87.37.54,6453,180.87.37.64,Directed,9.0
6453,180.87.37.64,6453,180.87.37.54,Directed,11.0
6453,180.87.37.54,6453,180.87.37.54,Directed,5.0
6453,180.87.37.54,4755,115.112.8.94,Directed,10.0
4755,115.112.8.94,13335,162.158.52.19,Directed,5.0
13335,162.158.52.19,13335,162.159.135.232,Directed,1.0
13335,162.159.135.232,13335,162.158.52.19,Directed,3.0
13335,-13,13335,162.159.135.232,Directed,4.0
-5,208.82.237.129,6453,116.0.79.129,Directed,150.0
6453,116.0.79.129,6453,180.87.181.92,Directed,0.0
6453,180.87.181.92,6453,180.87.181.207,Directed,5.0
6453,180.87.181.207,6453,64.86.252.32,Directed,3.0
6453,64.86.252.32,6453,66.110.59.1,Directed,1.0
6453,66.110.59.1,7922,96.110.33.1,Directed,2.0
7922,96.110.33.1,7922,96.110.33.9,Directed,5.0
7922,96.110.33.9,7922,96.110.33.5,Directed,6.0
7922,96.110.33.5,7922,96.110.45.190,Directed,3.0
7922,96.110.45.190,7922,96.110.45.174,Directed,8.0
7922,96.110.45.174,7922,96.110.37.189,Directed,25.0
7922,96.110.37.189,7922,96.110.46.137,Directed,8.0
7922,96.110.46.137,7922,96.110.46.153,Directed,3.0
7922,96.110.46.153,7922,96.110.46.105,Directed,0.0
7922,96.110.46.105,7922,96.110.46.118,Directed,5.0
7922,96.110.46.118,7922,96.110.39.209,Directed,34.0
7922,96.110.39.209,7922,96.110.34.253,Directed,0.0
7922,96.110.34.253,7922,96.110.34.241,Directed,2.0
7922,96.110.34.241,7922,96.110.34.226,Directed,9.0
7922,96.110.34.226,7922,96.110.39.222,Directed,11.0
7922,96.110.39.222,7922,96.110.39.170,Directed,5.0
7922,96.110.39.170,7922,96.110.39.46,Directed,2.0
7922,96.110.39.46,7922,96.110.34.173,Directed,4.0
7922,96.110.34.173,7922,96.110.34.161,Directed,8.0
7922,96.110.34.161,7922,96.110.34.173,Directed,9.0
7922,96.110.34.173,7922,96.110.34.206,Directed,7.0
7922,96.110.34.206,7922,96.110.34.194,Directed,5.0
7922,96.110.34.194,7922,96.110.34.206,Directed,3.0
7922,96.110.34.206,7922,96.110.32.77,Directed,1.0
7922,96.110.32.77,7922,68.86.84.25,Directed,2.0
7922,68.86.84.25,7922,68.86.84.17,Directed,3.0
7922,68.86.84.17,7922,96.110.40.18,Directed,3.0
7922,96.110.40.18,7922,96.110.235.18,Directed,0.0
7922,96.110.235.18,7922,68.85.61.202,Directed,2.0
7922,68.85.61.202,7922,96.108.111.5,Directed,7.0
7922,-14,7922,50.203.200.110,Directed,5.0
-5,128.59.105.24,6453,180.87.181.73,Directed,38.0
6453,180.87.181.73,6453,180.87.180.1,Directed,98.0
6453,180.87.180.1,6453,180.87.181.25,Directed,92.0
6453,180.87.181.25,6453,120.29.211.2,Directed,7.0
6453,120.29.211.2,6453,120.29.217.67,Directed,5.0
6453,120.29.217.67,6453,120.29.211.2,Directed,3.0
6453,120.29.211.2,6453,209.58.86.37,Directed,98.0
6453,209.58.86.37,174,154.54.12.141,Directed,2.0
174,154.54.12.141,174,154.54.43.13,Directed,1.0
174,154.54.43.13,174,154.54.44.142,Directed,19.0
174,154.54.44.142,174,154.54.42.98,Directed,2.0
174,154.54.42.98,174,154.54.31.90,Directed,50.0
174,154.54.31.90,174,154.54.44.170,Directed,10.0
174,154.54.44.170,174,154.54.7.130,Directed,1.0
174,154.54.7.130,174,154.54.82.246,Directed,0.0
174,154.54.82.246,174,154.54.84.214,Directed,0.0
174,154.54.84.214,174,38.122.8.210,Directed,2.0
174,38.122.8.210,14,128.59.255.5,Directed,1.0
14,128.59.255.5,14,128.59.255.21,Directed,4.0
14,-15,14,128.59.105.24,Directed,1.0
