Source - AS,Source - IP,Target - AS,Target - IP,RTTD
-5,219.94.128.141,-100,192.168.213.90,30.66
-100,192.168.213.90,-100,192.168.36.15,267.66999999999996
-100,192.168.36.15,-100,192.168.34.177,49.99999999999997
-100,192.168.34.177,-100,192.168.48.3,184.67000000000002
-100,192.168.48.3,-100,192.168.48.2,50.0
-100,192.168.48.2,-100,192.168.48.49,5.0
-100,192.168.48.49,9498,182.79.27.25,71.67000000000002
9498,182.79.27.25,9498,116.119.119.206,3.329999999999984
9498,116.119.119.206,-100,27.111.228.196,17.0
-100,27.111.228.196,2497,58.138.80.185,22.0
2497,58.138.80.185,2497,58.138.88.58,171.00000000000003
2497,58.138.88.58,2497,58.138.106.162,28.33000000000004
2497,58.138.106.162,2497,210.138.32.46,96.32999999999998
2497,210.138.32.46,-100,157.17.153.6,122.32999999999998
-100,157.17.153.6,-100,157.17.149.26,2.0
-100,-6,9371,219.94.128.141,117.66999999999999
-5,218.248.51.246,45609,2401:4900:60f3:2ea0::53,105.66
45609,2401:4900:60f3:2ea0::53,-100,2401:4900:d0:4600::28d,53.0
-100,2401:4900:d0:4600::28d,9498,2404:a800:3a00:201::ad,96.0
9498,2404:a800:3a00:201::ad,9498,2404:a800::167,56.34
9498,2404:a800::167,4755,2403:0:100::516,40.66
4755,-7,4755,2403:0:100::a92,29.659999999999997
-5,62.254.85.22,-100,192.168.213.90,44.0
-100,192.168.213.90,-100,192.168.36.15,307.66
-100,192.168.36.15,-100,192.168.34.181,271.0
-100,192.168.34.181,-100,192.168.48.8,163.0
-100,192.168.48.8,-100,192.168.48.2,40.00000000000003
-100,192.168.48.2,-100,192.168.48.49,95.00000000000003
-100,192.168.48.49,9498,182.79.27.25,115.0
9498,182.79.27.25,9498,116.119.68.223,46.67
9498,116.119.68.223,1299,62.115.142.128,366.0
1299,62.115.142.128,1299,62.115.137.36,18.0
1299,62.115.137.36,6830,84.116.134.197,31.66999999999996
6830,84.116.134.197,6830,84.116.135.50,172.66000000000003
6830,84.116.135.50,6830,84.116.135.50,553.0
6830,84.116.135.50,5089,62.253.174.98,430.0
5089,62.253.174.98,5089,62.254.85.22,479.33000000000004
5089,-8,5089,213.105.9.24,416.33000000000004
-5,128.232.128.6,-100,192.168.213.90,15.66
-100,192.168.213.90,-100,192.168.36.15,178.34
-100,192.168.36.15,-100,192.168.34.177,116.34
-100,192.168.34.177,-100,192.168.48.6,2.0
-100,192.168.48.6,-100,192.168.48.2,20.659999999999997
-100,192.168.48.2,-100,192.168.48.33,2.0
-100,192.168.48.33,9498,125.18.92.93,5.0
9498,125.18.92.93,6461,94.31.40.4,133.0
6461,94.31.40.4,6461,64.125.27.14,5.0
6461,64.125.27.14,6461,64.125.29.84,42.0
6461,64.125.29.84,6461,64.125.22.65,24.660000000000025
6461,64.125.22.65,-100,195.66.224.15,63.660000000000025
-100,195.66.224.15,786,146.97.35.169,24.659999999999997
786,146.97.35.169,786,146.97.33.62,32.0
786,146.97.33.62,786,146.97.33.29,159.00000000000003
786,146.97.33.29,786,146.97.35.246,140.66000000000003
786,146.97.35.246,786,146.97.41.38,35.66
786,146.97.41.38,786,131.111.6.182,55.00000000000003
786,131.111.6.182,786,193.60.88.6,1.0
786,193.60.88.6,786,193.60.88.6,58.00000000000003
786,193.60.88.6,786,128.232.128.6,69.34
786,128.232.128.6,786,128.232.128.10,181.66000000000003
786,-9,786,128.232.132.8,135.0
-5,202.218.128.200,-100,192.168.213.90,58.33
-100,192.168.213.90,-100,192.168.36.15,143.67000000000002
-100,192.168.36.15,-100,192.168.34.177,49.0
-100,192.168.34.177,-100,192.168.48.6,31.0
-100,192.168.48.6,-100,192.168.48.2,11.0
