Source - AS,Source - IP,Target - AS,Target - IP,RTTD
-2,219.94.128.141,2914,129.250.4.36,32.0
2914,129.250.4.36,2914,129.250.2.37,195.0
2914,129.250.2.37,2914,129.250.2.128,132.0
2914,129.250.2.128,2914,61.120.147.26,49.0
2914,61.120.147.26,-100,157.17.153.2,0.0
-100,157.17.153.2,-100,157.17.150.30,16.0
-100,-6,9371,219.94.128.141,38.0
-2,218.248.240.19,2914,129.250.4.10,27.0
2914,129.250.4.10,2914,129.250.7.28,2.0
2914,129.250.7.28,2914,129.250.4.182,146.0
2914,129.250.4.182,2914,129.250.5.66,14.0
2914,129.250.5.66,2914,168.143.191.229,13.0
2914,-7,9498,116.119.81.214,85.0
-2,213.105.9.24,2914,129.250.4.10,8.0
2914,129.250.4.10,2914,129.250.7.65,1.0
2914,129.250.7.65,2914,129.250.66.102,2.0
2914,129.250.66.102,6830,84.116.130.241,2.0
6830,84.116.130.241,6830,84.116.130.242,0.0
6830,-8,5089,62.253.174.78,2.0
-2,128.232.132.8,2914,129.250.4.10,8.0
2914,129.250.4.10,2914,129.250.7.87,1.0
2914,129.250.7.87,1299,62.115.120.228,1.0
1299,62.115.120.228,786,146.97.33.29,10.0
786,146.97.33.29,786,146.97.35.193,10.0
786,146.97.35.193,786,146.97.41.38,3.0
786,146.97.41.38,786,131.111.6.182,0.0
786,131.111.6.182,786,146.97.35.246,0.0
786,146.97.35.246,786,193.60.88.6,1.0
786,193.60.88.6,786,128.232.128.6,1.0
786,128.232.128.6,786,193.60.88.6,2.0
786,-9,786,128.232.128.6,1.0
-2,202.218.128.200,2914,129.250.4.36,9.0
2914,129.250.4.36,2914,129.250.2.111,233.0
2914,129.250.2.111,2914,129.250.2.114,17.0
2914,129.250.2.114,2914,168.143.229.26,14.0
2914,168.143.229.26,2497,58.138.88.157,40.0
2497,58.138.88.157,2497,58.138.101.38,20.0
2497,58.138.101.38,2497,210.130.134.118,99.0
2497,210.130.134.118,2519,163.139.130.218,98.0
2519,163.139.130.218,2519,222.230.187.198,138.0
2519,-10,4694,202.218.128.200,81.0
-2,5.28.62.178,2914,129.250.4.36,6.0
2914,129.250.4.36,2914,129.250.3.251,4.0
2914,129.250.3.251,6461,208.184.12.80,1.0
6461,208.184.12.80,6461,64.125.28.33,3.0
6461,64.125.28.33,20860,62.128.211.137,1.0
20860,62.128.211.137,20860,130.180.202.49,0.0
20860,130.180.202.49,20860,130.180.202.57,4.0
20860,130.180.202.57,35425,91.223.58.33,1.0
35425,-11,35425,5.28.62.178,1.0
-2,120.136.14.37,174,130.117.254.17,0.85
174,130.117.254.17,174,154.54.57.165,5.220000000000001
174,154.54.57.165,174,154.54.72.226,10.649999999999999
174,154.54.72.226,174,154.54.6.26,182.45
174,154.54.6.26,174,154.54.40.138,43.5
174,154.54.40.138,174,154.54.83.190,8.869999999999976
174,154.54.83.190,174,154.18.0.2,0.6999999999999886
174,154.18.0.2,174,154.18.0.2,6.199999999999989
174,154.18.0.2,2519,163.139.130.218,27.669999999999987
2519,163.139.130.218,131965,103.3.0.5,16.909999999999997
131965,-12,131965,103.3.0.23,12.189999999999998
-2,128.2.42.52,2914,129.250.4.10,10.0
2914,129.250.4.10,2914,129.250.7.87,6.0
2914,129.250.7.87,174,130.117.15.129,0.0
174,130.117.15.129,174,130.117.2.242,1.0
174,130.117.2.242,174,154.54.58.69,10.0
174,154.54.58.69,174,154.54.44.162,73.0
174,154.54.44.162,174,154.54.42.89,21.0
174,154.54.42.89,174,154.54.31.225,1.0
174,154.54.31.225,174,154.54.83.158,3.0
174,154.54.83.158,174,154.24.79.78,0.0
174,154.24.79.78,174,38.140.44.154,0.0
174,38.140.44.154,9,128.2.255.177,0.0
9,128.2.255.177,9,128.2.255.202,6.0
9,-13,9,128.2.42.10,7.0
-2,162.159.136.232,2914,128.241.10.243,3.0
2914,-14,13335,162.159.136.232,2.0
-2,208.82.237.129,2914,129.250.3.244,257.0
2914,129.250.3.244,2914,165.254.239.30,16.0
2914,-15,22414,208.82.237.129,129.0
-2,128.59.105.24,2914,129.250.4.10,14.0
2914,129.250.4.10,2914,129.250.7.87,7.0
2914,129.250.7.87,174,130.117.15.129,17.0
174,130.117.15.129,174,130.117.50.5,1.0
174,130.117.50.5,174,130.117.51.41,7.0
174,130.117.51.41,174,154.54.42.69,67.0
174,154.54.42.69,174,38.122.8.210,4.0
174,38.122.8.210,14,128.59.255.5,4.0
14,128.59.255.5,14,128.59.255.21,0.0
14,-16,14,128.59.105.24,0.0
