Source - AS,Source - IP,Target - AS,Target - IP,RTTD
-1,0,-100,172.22.96.1,0.66
-100,172.22.96.1,-100,192.168.1.1,2.19
-100,192.168.1.1,-100,192.168.41.1,10.5
-100,192.168.41.1,-100,192.168.8.18,9.14
-100,192.168.8.18,59193,103.232.241.2,0.43000000000000016
59193,103.232.241.2,-100,10.119.254.121,9.440000000000001
-100,10.119.254.121,-100,10.160.24.5,6.28
-100,10.160.24.5,-100,10.255.222.33,1.3800000000000008
-100,10.255.222.33,55836,115.247.100.29,22.560000000000002
55836,115.247.100.29,2497,202.232.1.69,38.05
2497,202.232.1.69,2497,58.138.80.209,17.230000000000004
2497,58.138.80.209,2497,58.138.80.185,82.31
2497,58.138.80.185,2497,58.138.88.58,0.7400000000000091
2497,58.138.88.58,2497,58.138.106.162,23.45999999999998
2497,58.138.106.162,2497,210.138.32.46,91.89000000000001
2497,-6,9371,219.94.128.141,1.490000000000009
-1,0,-100,192.168.1.1,4.33
-100,192.168.1.1,-100,192.168.41.1,2.0
-100,192.168.41.1,-100,192.168.8.19,1.0
-100,192.168.8.19,59193,103.232.241.2,34.33
59193,103.232.241.2,-100,10.119.254.121,35.0
-100,10.119.254.121,-100,10.160.24.5,4.34
-100,10.160.24.5,-100,10.255.221.33,0.0
-100,10.255.221.33,9829,117.236.235.254,2.34
9829,117.236.235.254,9829,117.216.207.115,11.0
9829,117.216.207.115,9829,117.216.207.214,0.0
9829,117.216.207.214,9829,218.248.51.246,134.0
9829,218.248.51.246,9829,218.248.240.19,130.66
9829,218.248.240.19,9829,218.248.240.19,51.0
9829,-7,9829,218.248.240.19,40.67
-1,0,-100,192.168.1.1,3.0
-100,192.168.1.1,-100,192.168.41.1,1.0
-100,192.168.41.1,-100,192.168.8.19,0.6699999999999999
-100,192.168.8.19,59193,103.232.241.2,0.33000000000000007
59193,103.232.241.2,-100,10.119.254.121,0.0
-100,10.119.254.121,-100,10.160.24.5,5.66
-100,10.160.24.5,-100,10.255.222.33,3.33
-100,10.255.222.33,55836,115.247.100.29,0.0
55836,115.247.100.29,174,130.117.48.145,138.0
174,130.117.48.145,174,154.54.60.13,10.669999999999987
174,154.54.60.13,174,154.54.58.186,4.659999999999997
174,154.54.58.186,6830,213.46.174.45,13.329999999999984
6830,213.46.174.45,6830,84.116.135.42,14.0
6830,84.116.135.42,5089,62.253.174.114,5.0
5089,62.253.174.114,5089,62.254.85.22,11.669999999999987
5089,-8,5089,213.105.9.24,11.340000000000003
-1,0,-100,172.22.96.1,0.43
-100,172.22.96.1,-100,192.168.1.1,7.38
-100,192.168.1.1,-100,192.168.41.1,4.069999999999999
-100,192.168.41.1,-100,192.168.8.18,1.7400000000000002
-100,192.168.8.18,59193,103.232.241.2,0.8700000000000001
59193,103.232.241.2,-100,10.119.254.121,0.33000000000000007
-100,10.119.254.121,-100,10.160.24.5,18.38
-100,10.160.24.5,-100,10.255.232.201,1.9299999999999997
-100,10.255.232.201,55824,180.149.48.18,0.08000000000000185
55824,180.149.48.18,55824,180.149.48.2,140.51
55824,180.149.48.2,55824,180.149.48.29,23.700000000000017
55824,180.149.48.29,20965,62.40.125.214,1.7900000000000205
20965,62.40.125.214,20965,62.40.98.239,2.25
20965,62.40.98.239,20965,62.40.98.106,1.0699999999999932
20965,62.40.98.106,20965,62.40.98.64,1.6499999999999773
20965,62.40.98.64,20965,62.40.124.198,0.45000000000001705
20965,62.40.124.198,786,146.97.33.18,5.189999999999998
786,146.97.33.18,786,146.97.35.246,40.110000000000014
786,146.97.35.246,786,146.97.41.38,39.91
786,146.97.41.38,786,131.111.6.182,0.17000000000001592
786,131.111.6.182,786,193.60.88.6,2.490000000000009
786,193.60.88.6,786,193.60.88.6,14.139999999999986
786,193.60.88.6,786,128.232.128.6,16.069999999999993
786,128.232.128.6,786,128.232.128.10,1.1400000000000148
786,-9,786,128.232.132.8,0.5999999999999943
-1,0,-100,172.22.96.1,0.39
-100,172.22.96.1,-100,192.168.1.1,3.8799999999999994
-100,192.168.1.1,-100,192.168.41.1,2.5700000000000003
-100,192.168.41.1,59193,103.232.241.2,3.3699999999999997
59193,103.232.241.2,-100,10.119.254.121,52.59
-100,10.119.254.121,-100,10.160.24.5,51.18
-100,10.160.24.5,-100,10.255.221.33,1.2599999999999998
-100,10.255.221.33,55836,115.247.100.29,52.83
