Source - AS,Source - IP,Target - AS,Target - IP,RTTD
-4,219.94.128.141,2914,129.250.3.47,3.0
2914,129.250.3.47,2914,129.250.4.194,70.0
2914,129.250.4.194,2914,129.250.6.16,1.0
2914,129.250.6.16,2914,129.250.6.177,62.0
2914,129.250.6.177,2914,129.250.3.83,0.0
2914,129.250.3.83,2914,129.250.2.40,104.0
2914,129.250.2.40,2914,61.120.147.26,0.0
2914,61.120.147.26,-100,157.17.153.10,1.0
-100,157.17.153.10,-100,157.17.149.26,1.0
-100,-6,9371,219.94.128.141,2.0
-5,219.94.128.141,-100,192.168.213.90,30.66
-100,192.168.213.90,-100,192.168.36.15,267.66999999999996
-100,192.168.36.15,-100,192.168.34.177,49.99999999999997
-100,192.168.34.177,-100,192.168.48.3,184.67000000000002
-100,192.168.48.3,-100,192.168.48.2,50.0
-100,192.168.48.2,-100,192.168.48.49,5.0
-100,192.168.48.49,9498,182.79.27.25,71.67000000000002
9498,182.79.27.25,9498,116.119.119.206,3.329999999999984
9498,116.119.119.206,-100,27.111.228.196,17.0
-100,27.111.228.196,2497,58.138.80.185,22.0
2497,58.138.80.185,2497,58.138.88.58,171.00000000000003
2497,58.138.88.58,2497,58.138.106.162,28.33000000000004
2497,58.138.106.162,2497,210.138.32.46,96.32999999999998
2497,210.138.32.46,-100,157.17.153.6,122.32999999999998
-100,157.17.153.6,-100,157.17.149.26,2.0
-100,-6,9371,219.94.128.141,117.66999999999999
-1,0,-100,192.168.1.1,4.33
-100,192.168.1.1,-100,192.168.41.1,2.0
-100,192.168.41.1,-100,192.168.8.19,1.0
-100,192.168.8.19,59193,103.232.241.2,34.33
59193,103.232.241.2,-100,10.119.254.121,35.0
-100,10.119.254.121,-100,10.160.24.5,4.34
-100,10.160.24.5,-100,10.255.221.33,0.0
-100,10.255.221.33,9829,117.236.235.254,2.34
9829,117.236.235.254,9829,117.216.207.115,11.0
9829,117.216.207.115,9829,117.216.207.214,0.0
9829,117.216.207.214,9829,218.248.51.246,134.0
9829,218.248.51.246,9829,218.248.240.19,130.66
9829,218.248.240.19,9829,218.248.240.19,51.0
9829,-7,9829,218.248.240.19,40.67
-4,218.248.51.246,2914,129.250.3.101,1.0
2914,129.250.3.101,2914,129.250.5.62,158.0
2914,129.250.5.62,2914,168.143.191.229,4.0
2914,168.143.191.229,9498,116.119.52.198,69.0
9498,-7,9829,218.248.51.246,14.0
-5,218.248.51.246,45609,2401:4900:60f3:2ea0::53,105.66
45609,2401:4900:60f3:2ea0::53,-100,2401:4900:d0:4600::28d,53.0
-100,2401:4900:d0:4600::28d,9498,2404:a800:3a00:201::ad,96.0
9498,2404:a800:3a00:201::ad,9498,2404:a800::167,56.34
9498,2404:a800::167,4755,2403:0:100::516,40.66
4755,-7,4755,2403:0:100::a92,29.659999999999997
-1,0,-100,192.168.1.1,3.0
-100,192.168.1.1,-100,192.168.41.1,1.0
-100,192.168.41.1,-100,192.168.8.19,0.6699999999999999
-100,192.168.8.19,59193,103.232.241.2,0.33000000000000007
59193,103.232.241.2,-100,10.119.254.121,0.0
-100,10.119.254.121,-100,10.160.24.5,5.66
-100,10.160.24.5,-100,10.255.222.33,3.33
-100,10.255.222.33,55836,115.247.100.29,0.0
55836,115.247.100.29,174,130.117.48.145,138.0
174,130.117.48.145,174,154.54.60.13,10.669999999999987
174,154.54.60.13,174,154.54.58.186,4.659999999999997
174,154.54.58.186,6830,213.46.174.45,13.329999999999984
6830,213.46.174.45,6830,84.116.135.42,14.0
6830,84.116.135.42,5089,62.253.174.114,5.0
5089,62.253.174.114,5089,62.254.85.22,11.669999999999987
5089,-8,5089,213.105.9.24,11.340000000000003
-4,62.254.85.18,2914,129.250.2.151,1.0
2914,129.250.2.151,6830,213.46.174.97,0.0
6830,213.46.174.97,6830,84.116.134.197,10.0
6830,84.116.134.197,6830,84.116.135.50,3.0
6830,84.116.135.50,5089,62.253.174.98,9.0
5089,-8,5089,62.254.85.22,1.0
-5,62.254.85.22,-100,192.168.213.90,44.0
-100,192.168.213.90,-100,192.168.36.15,307.66
-100,192.168.36.15,-100,192.168.34.181,271.0
-100,192.168.34.181,-100,192.168.48.8,163.0
-100,192.168.48.8,-100,192.168.48.2,40.00000000000003
-100,192.168.48.2,-100,192.168.48.49,95.00000000000003
-100,192.168.48.49,9498,182.79.27.25,115.0
9498,182.79.27.25,9498,116.119.68.223,46.67
9498,116.119.68.223,1299,62.115.142.128,366.0
1299,62.115.142.128,1299,62.115.137.36,18.0
1299,62.115.137.36,6830,84.116.134.197,31.66999999999996
6830,84.116.134.197,6830,84.116.135.50,172.66000000000003
6830,84.116.135.50,6830,84.116.135.50,553.0
6830,84.116.135.50,5089,62.253.174.98,430.0
5089,62.253.174.98,5089,62.254.85.22,479.33000000000004
5089,-8,5089,213.105.9.24,416.33000000000004
-1,0,-100,172.22.96.1,0.43
-100,172.22.96.1,-100,192.168.1.1,7.38
-100,192.168.1.1,-100,192.168.41.1,4.069999999999999
